the_geom,cartodb_id,the_geom_webmercator,id,bbl,bin,address,zipcode,bldgtype,idflags,ess,year,gfa,gfaflags,numbldgs,numfloors,energy,eui,euiflags,wui,wuiflags,ghg,ghgflags,bep_score,bldg_class,group_threshold,ghgi_25_target,ghgi_30_target,value,primary_type_size_rate,primary_type,other_types_dict,has_datacenter,electricity,bedrooms,natural_gas,steam,worker_dens,res_units,diesel,fuel_4,fuel_2,fuel_5_6,gfa_cat,age_cat,value_cat,eui_base,eui_diff,wui_base,wui_diff,ghg_base,ghg_diff,fuel_mix,bee_rating
,5959,,15037106,5000017501,5089353,80 BAY STREET LANDING,10301,Multifamily Housing,0,34,1989,180775,0,1,0,21377767,118.3,0,30.74,0,4.37,0,,R4,8,6.92175294585,3.94821176772,4125602,1,Multifamily Housing,,0,3816221.3,179,9575000,,,,,,,,4,4,3,,,,,,,"{'Fuel Oil 4': nan, 'Fuel Oil 2': nan, 'Natural Gas': '9575000', 'Electricity': '3816221.3', 'Diesel': nan, 'Fuel Oil 5 & 6': nan, 'District Steam': nan}",
,5961,,15356880,1016000026,1074155,15 W 116TH STREET,10026,Multifamily Housing,0,71,2008,47624,0,1,9,5072423.2,106.5,0,29.04,0,4.15,0,,,,,,4483800,1,Multifamily Housing,,0,744208.9,67,2689731.4,,,,,,,,1,4,3,,,,,,,"{'Fuel Oil 4': nan, 'Fuel Oil 2': nan, 'Natural Gas': '2689731.4', 'Electricity': '744208.9', 'Diesel': nan, 'Fuel Oil 5 & 6': nan, 'District Steam': nan}",
,5962,,6787803,5028627501,"5043008;5802118",50 BELAIR ROAD,10305,Multifamily Housing,0,78,1985,51425,0,1,4,4287829,83.4,0,31.25,0,2.35,0,,,,,,1821603,1,Multifamily Housing,,0,1292267.7,60,479800,,,,,,,,2,3,1,,,,,,,"{'Fuel Oil 4': nan, 'Fuel Oil 2': nan, 'Natural Gas': '479800', 'Electricity': '1292267.7', 'Diesel': nan, 'Fuel Oil 5 & 6': nan, 'District Steam': nan}",
,5965,,5075418,2036620008,2022641,930 Soundview Ave,10473,Office,0,12,1960,58500,0,1,2,13205392,225.7,0,3.2,0,6.19,0,,,,,,4589100,1,Office,"{'Office': 58500.0, 'Parking': 0.0}",0,4413709.7,,690006.7,,0.8547,,,,,,2,3,1,,,,,,,"{'Fuel Oil 4': nan, 'Fuel Oil 2': nan, 'Natural Gas': '690006.7', 'Electricity': '4413709.7', 'Diesel': nan, 'Fuel Oil 5 & 6': nan, 'District Steam': nan}",
,5968,,6814670,4093800001,4197020,102-20 Atlantic Ave,11416,Office,0,100,1984,34604,0,1,1,764783,22.1,1,38.05,0,0.58,1,,,,,,5836500,1,Office,,0,273136.8,,0,,2.88984,,,,,,1,4,1,,,,,,,"{'Fuel Oil 4': nan, 'Fuel Oil 2': nan, 'Natural Gas': '0', 'Electricity': '273136.8', 'Diesel': nan, 'Fuel Oil 5 & 6': nan, 'District Steam': nan}",
,5971,,6790416,3054380036,3128689,1772 46th Street,11204,Multifamily Housing,0,1,1931,36010,0,1,4,24126725.1,670,1,102.64,0,19.46,1,,,,,,1058400,1,Multifamily Housing,,0,7396561.7,50,2916782,,,,,,,,1,2,0,,,,,,,"{'Fuel Oil 4': nan, 'Fuel Oil 2': nan, 'Natural Gas': '2916782', 'Electricity': '7396561.7', 'Diesel': nan, 'Fuel Oil 5 & 6': nan, 'District Steam': nan}",
,5972,,4923294,3046520008,3101269,9720 Kings Highway,11212,Multifamily Housing,0,23,1926,113408,0,1,6,17281159.3,152.4,0,9.07,1,6.2,0,,D7,10,6.75288296823,4.07165564052,3532500,1,Multifamily Housing,,0,1896853.1,167,10611456.7,,,,,,,,3,1,2,,,,,,,"{'Fuel Oil 4': nan, 'Fuel Oil 2': nan, 'Natural Gas': '10611456.7', 'Electricity': '1896853.1', 'Diesel': nan, 'Fuel Oil 5 & 6': nan, 'District Steam': nan}",
,5973,,6700107,3087760007,3247054,2018 Voorhies Avenue,11235,Multifamily Housing,0,11,1938,31402,0,1,4,5316081.1,169.3,0,95.23,0,7.41,0,,,,,,913500,1,Multifamily Housing,,0,334191,63,3914280.3,,,,,,,,0,2,0,,,,,,,"{'Fuel Oil 4': nan, 'Fuel Oil 2': nan, 'Natural Gas': '3914280.3', 'Electricity': '334191', 'Diesel': nan, 'Fuel Oil 5 & 6': nan, 'District Steam': nan}",
,5975,,16100118,4009040021,4532006,25-66 12 Street,11102,Multifamily Housing,0,100,2005,25297,0,1,5,1331795.3,52.6,0,36.81,0,2.23,0,,,,,,1459800,1,Multifamily Housing,,0,86245,36,944851.7,,,,,,,,0,4,1,,,,,,,"{'Fuel Oil 4': nan, 'Fuel Oil 2': nan, 'Natural Gas': '944851.7', 'Electricity': '86245', 'Diesel': nan, 'Fuel Oil 5 & 6': nan, 'District Steam': nan}",
,5976,,11910697,3050560097,3116041,111 Clarkson Ave,11226,Multifamily Housing,0,96,2018,26902,0,1,8,2060245.2,76.6,0,20.1,0,2.17,0,,,,,,2259000,0.938823939976,Multifamily Housing,"{'Multifamily Housing': 26902.0, 'Parking': 1753.0}",0,614654.5,28,246800,,,,,,,,0,4,2,,,,,,,"{'Fuel Oil 4': nan, 'Fuel Oil 2': nan, 'Natural Gas': '246800', 'Electricity': '614654.5', 'Diesel': nan, 'Fuel Oil 5 & 6': nan, 'District Steam': nan}",
